Time,Axial Accel (Gs),[Altitude (Baro-Ft-AGL)]
0.22625,11.0459,0.266113
0.2275,10.8495,0.266113
0.22875,10.8495,0.266113
0.23,10.9477,0.266113
0.23125,10.9477,0.266113
0.2325,10.7512,0.266113
0.23375,10.7512,0.266113
0.235,10.653,0.266113
0.23625,10.653,0.266113
0.2375,10.653,0.266113
0.23875,10.653,0.266113
0.24,10.9477,0.266113
0.24125,10.9477,0.266113
0.2425,10.9477,0.266113
0.24375,10.9477,0.266113
0.245,10.8495,0.266113
0.24625,10.8495,0.266113
0.2475,10.7512,0.266113
0.24875,10.7512,0.266113
0.25,10.7512,0.266113
0.25,10.7512,0.266113
0.25,10.7512,0.266113
0.25125,10.7512,0.266113
0.2525,10.7512,0.266113
0.25375,10.653,0.266113
0.255,10.653,0.266113
0.25625,10.5548,0.266113
0.2575,10.5548,0.266113
0.25875,10.5548,0.266113
0.26,10.5548,0.266113
0.26125,10.4565,0.266113
0.2625,10.4565,0.266113
0.26375,10.4565,0.266113
0.265,10.4565,0.266113
0.26625,10.4565,0.266113
0.2675,10.4565,0.266113
0.26875,10.653,0.266113
0.27,10.653,0.266113
0.27125,10.653,0.266113
0.2725,10.653,0.266113
0.27375,10.653,0.266113
0.275,10.653,0.266113
0.27625,10.653,0.266113
0.2775,10.653,0.266113
0.27875,10.7512,0.266113
0.28,10.7512,0.266113
0.28125,10.653,0.266113
0.2825,10.653,0.266113
0.28375,10.7512,0.266113
0.285,10.7512,0.266113
0.28625,10.7512,0.266113
0.2875,10.7512,0.266113
0.28875,10.653,0.266113
0.29,10.653,0.266113
0.29125,10.7512,0.266113
0.2925,10.7512,0.266113
0.29375,10.653,0.266113
0.295,10.653,2.78027
0.29625,10.653,2.78027
0.2975,10.653,2.78027
0.29875,10.7512,2.78027
0.3,10.7512,2.78027
0.30125,10.8495,2.78027
0.30125,10.8495,2.78027
0.30125,10.8495,2.78027
0.3025,10.8495,2.78027
0.30375,10.8495,2.78027
0.305,10.8495,2.78027
0.30625,10.8495,2.78027
0.3075,10.8495,2.78027
0.30875,10.7512,2.78027
0.31,10.7512,2.78027
0.31125,10.8495,2.78027
0.3125,10.8495,2.78027
0.31375,10.7512,2.78027
