Time,Axial Accel (Gs),[Altitude (Baro-Ft-AGL)],
126.543,-0.83991,468.3780488,142.7981856
126.544,-0.74168,468.3780488,142.7981856
126.545,-0.74168,467.5762195,142.5537255
126.546,-0.74168,467.5762195,142.5537255
126.548,-0.74168,467.5762195,142.5537255
126.549,-0.74168,467.5762195,142.5537255
126.55,-0.74168,467.5762195,142.5537255
126.551,-0.74168,467.5762195,142.5537255
126.551,-0.74168,467.5762195,142.5537255
126.551,-0.74168,467.5762195,142.5537255
126.552,-0.74168,467.5762195,142.5537255
126.554,-0.74168,467.5762195,142.5537255
126.555,-0.74168,467.5762195,142.5537255
126.556,-0.74168,467.5762195,142.5537255
126.558,-0.74168,467.5762195,142.5537255
126.559,-0.74168,467.5762195,142.5537255
126.56,-0.74168,467.5762195,142.5537255
126.561,-0.74168,467.5762195,142.5537255
126.562,-0.74168,467.5762195,142.5537255
126.564,-0.74168,467.5762195,142.5537255
126.565,-0.74168,467.5762195,142.5537255
126.566,-0.74168,467.5762195,142.5537255
126.567,-0.74168,467.5762195,142.5537255
126.569,-0.64345,467.5762195,142.5537255
126.57,-0.64345,467.5762195,142.5537255
126.571,-0.64345,467.5762195,142.5537255
126.573,-0.64345,467.5762195,142.5537255
126.574,-0.64345,467.5762195,142.5537255
126.575,-0.64345,467.5762195,142.5537255
126.576,-0.54522,467.5762195,142.5537255
126.577,-0.54522,467.5762195,142.5537255
126.579,-0.54522,467.5762195,142.5537255
126.58,-0.54522,467.5762195,142.5537255
126.581,-0.54522,467.5762195,142.5537255
126.582,-0.54522,467.5762195,142.5537255
126.584,-0.54522,467.5762195,142.5537255
126.585,-0.54522,467.5762195,142.5537255
126.586,-0.64345,467.5762195,142.5537255
126.588,-0.64345,467.5762195,142.5537255
126.589,-0.54522,467.5762195,142.5537255
126.59,-0.54522,467.5762195,142.5537255
126.591,-0.64345,467.5762195,142.5537255
126.592,-0.64345,467.5762195,142.5537255
126.594,-0.64345,467.5762195,142.5537255
126.595,-0.64345,466.3719512,142.1865705
126.596,-0.54522,466.3719512,142.1865705
126.598,-0.54522,466.3719512,142.1865705
126.599,-0.54522,466.3719512,142.1865705
126.6,-0.54522,466.3719512,142.1865705
126.601,-0.64345,466.3719512,142.1865705
126.601,-0.64345,466.3719512,142.1865705
126.601,-0.64345,466.3719512,142.1865705
126.603,-0.64345,466.3719512,142.1865705
126.604,-0.54522,466.3719512,142.1865705
126.605,-0.54522,466.3719512,142.1865705
126.606,-0.54522,466.3719512,142.1865705
126.607,-0.54522,466.3719512,142.1865705
126.609,-0.44699,466.3719512,142.1865705
126.61,-0.44699,466.3719512,142.1865705
126.611,-0.44699,466.3719512,142.1865705
126.613,-0.44699,466.3719512,142.1865705
126.614,-0.44699,466.3719512,142.1865705
126.615,-0.44699,466.3719512,142.1865705
126.616,-0.44699,466.3719512,142.1865705
126.618,-0.44699,466.3719512,142.1865705
126.619,-0.34876,466.3719512,142.1865705
126.62,-0.34876,466.3719512,142.1865705
126.621,-0.34876,466.3719512,142.1865705
126.622,-0.34876,466.3719512,142.1865705
126.624,-0.34876,466.3719512,142.1865705
126.625,-0.34876,466.3719512,142.1865705
126.626,-0.34876,466.3719512,142.1865705
126.628,-0.34876,466.3719512,142.1865705
126.629,-0.34876,466.3719512,142.1865705
126.63,-0.34876,466.3719512,142.1865705
126.631,-0.34876,466.3719512,142.1865705
126.632,-0.34876,466.3719512,142.1865705
126.634,-0.34876,466.3719512,142.1865705
126.635,-0.34876,466.3719512,142.1865705
126.636,-0.34876,466.3719512,142.1865705
126.637,-0.34876,466.3719512,142.1865705
126.639,-0.34876,466.3719512,142.1865705
126.64,-0.34876,466.3719512,142.1865705
126.641,-0.34876,466.3719512,142.1865705
126.643,-0.34876,466.3719512,142.1865705
126.644,-0.25053,466.3719512,142.1865705
126.645,-0.25053,465.1676829,141.8194155
126.646,-0.25053,465.1676829,141.8194155
126.647,-0.25053,465.1676829,141.8194155
126.649,-0.25053,465.1676829,141.8194155
126.65,-0.25053,465.1676829,141.8194155
126.651,-0.25053,465.1676829,141.8194155
126.651,-0.25053,465.1676829,141.8194155
126.651,-0.25053,465.1676829,141.8194155
126.652,-0.25053,465.1676829,141.8194155
126.654,-0.25053,465.1676829,141.8194155
126.655,-0.25053,465.1676829,141.8194155
126.656,-0.25053,465.1676829,141.8194155
126.658,-0.25053,465.1676829,141.8194155
126.659,-0.25053,465.1676829,141.8194155
126.66,-0.25053,465.1676829,141.8194155
126.661,-0.34876,465.1676829,141.8194155
126.662,-0.34876,465.1676829,141.8194155
